term	module
Type_ownedDifferencing	KerML/Core/Types
Type_ownedDisjoining	KerML/Core/Types
Type_ownedEndFeature	KerML/Core/Types
Type_ownedFeature	KerML/Core/Types
Type_ownedFeatureMembership	KerML/Core/Types
Type_ownedIntersecting	KerML/Core/Types
Type_ownedSpecialization	KerML/Core/Types
Type_ownedUnioning	KerML/Core/Types
Type_unioningType	KerML/Core/Types
Unioning	KerML/Core/Types
Unioning_typeUnioned	KerML/Core/Types
Unioning_unioningType	KerML/Core/Types
Usage	SysML/Systems/DefinitionAndUsage
Usage_definition	SysML/Systems/DefinitionAndUsage
Usage_directedUsage	SysML/Systems/DefinitionAndUsage
Usage_isReference	SysML/Systems/DefinitionAndUsage
Usage_isVariation	SysML/Systems/DefinitionAndUsage
Usage_nestedAction	SysML/Systems/DefinitionAndUsage
Usage_nestedAllocation	SysML/Systems/DefinitionAndUsage
Usage_nestedAnalysisCase	SysML/Systems/DefinitionAndUsage
Usage_nestedAttribute	SysML/Systems/DefinitionAndUsage
Usage_nestedCalculation	SysML/Systems/DefinitionAndUsage
Usage_nestedCase	SysML/Systems/DefinitionAndUsage
Usage_nestedConcern	SysML/Systems/DefinitionAndUsage
Usage_nestedConnection	SysML/Systems/DefinitionAndUsage
Usage_nestedConstraint	SysML/Systems/DefinitionAndUsage
Usage_nestedEnumeration	SysML/Systems/DefinitionAndUsage
Usage_nestedFlow	SysML/Systems/DefinitionAndUsage
Usage_nestedInterface	SysML/Systems/DefinitionAndUsage
Usage_nestedItem	SysML/Systems/DefinitionAndUsage
Usage_nestedMetadata	SysML/Systems/DefinitionAndUsage
Usage_nestedOccurrence	SysML/Systems/DefinitionAndUsage
Usage_nestedPart	SysML/Systems/DefinitionAndUsage
Usage_nestedPort	SysML/Systems/DefinitionAndUsage
Usage_nestedReference	SysML/Systems/DefinitionAndUsage
Usage_nestedRendering	SysML/Systems/DefinitionAndUsage
Usage_nestedRequirement	SysML/Systems/DefinitionAndUsage
Usage_nestedState	SysML/Systems/DefinitionAndUsage
Usage_nestedTransition	SysML/Systems/DefinitionAndUsage
Usage_nestedUsage	SysML/Systems/DefinitionAndUsage
Usage_nestedUseCase	SysML/Systems/DefinitionAndUsage
Usage_nestedVerificationCase	SysML/Systems/DefinitionAndUsage
Usage_nestedView	SysML/Systems/DefinitionAndUsage
Usage_nestedViewpoint	SysML/Systems/DefinitionAndUsage
Usage_owningDefinition	SysML/Systems/DefinitionAndUsage
Usage_owningUsage	SysML/Systems/DefinitionAndUsage
Usage_usage	SysML/Systems/DefinitionAndUsage
Usage_variant	SysML/Systems/DefinitionAndUsage
Usage_variantMembership	SysML/Systems/DefinitionAndUsage
UseCaseDefinition	SysML/Systems/UseCases
UseCaseDefinition_includedUseCase	SysML/Systems/UseCases
UseCaseUsage	SysML/Systems/UseCases
UseCaseUsage_includedUseCase	SysML/Systems/UseCases
UseCaseUsage_useCaseDefinition	SysML/Systems/UseCases
VariantMembership	SysML/Systems/DefinitionAndUsage
VariantMembership_ownedVariantUsage	SysML/Systems/DefinitionAndUsage
VerificationCaseDefinition	SysML/Systems/VerificationCases
VerificationCaseDefinition_verifiedRequirement	SysML/Systems/VerificationCases
VerificationCaseUsage	SysML/Systems/VerificationCases
VerificationCaseUsage_verificationCaseDefinition	SysML/Systems/VerificationCases
VerificationCaseUsage_verifiedRequirement	SysML/Systems/VerificationCases
ViewDefinition	SysML/Systems/Views
ViewDefinition_satisfiedViewpoint	SysML/Systems/Views
ViewDefinition_view	SysML/Systems/Views
ViewDefinition_viewCondition	SysML/Systems/Views
ViewDefinition_viewRendering	SysML/Systems/Views
ViewRenderingMembership	SysML/Systems/Views
ViewRenderingMembership_ownedRendering	SysML/Systems/Views
ViewRenderingMembership_referencedRendering	SysML/Systems/Views
ViewUsage	SysML/Systems/Views
